rep,training_size,model,RelL2,beta_star
18,120,Convex only,0.2208,
18,140,Convex only,0.1855,
18,160,Convex only,0.1794,
18,180,Convex only,0.1776,
18,200,Convex only,0.1549,
19,20,Convex only,0.2536,
19,40,Convex only,0.2205,
19,60,Convex only,0.1986,
19,80,Convex only,0.1930,
19,100,Convex only,0.1824,
19,120,Convex only,0.1813,
19,140,Convex only,0.1693,
19,160,Convex only,0.1644,
19,180,Convex only,0.1592,
19,200,Convex only,0.1532,
0,20,Additive,0.1567,
0,40,Additive,0.1473,
0,60,Additive,0.1439,
0,80,Additive,0.1410,
0,100,Additive,0.1408,
0,120,Additive,0.1346,
0,140,Additive,0.1143,
0,160,Additive,0.1144,
0,180,Additive,0.1359,
0,200,Additive,0.1367,
1,20,Additive,0.1309,
1,40,Additive,0.1290,
1,60,Additive,0.1204,
1,80,Additive,0.1208,
1,100,Additive,0.1161,
1,120,Additive,0.1258,
1,140,Additive,0.1265,
1,160,Additive,0.1170,
1,180,Additive,0.1182,
1,200,Additive,0.1157,
2,20,Additive,0.1354,
2,40,Additive,0.1245,
2,60,Additive,0.1224,
2,80,Additive,0.1161,
2,100,Additive,0.1121,
2,120,Additive,0.1123,
2,140,Additive,0.1179,
2,160,Additive,0.1215,
2,180,Additive,0.1211,
2,200,Additive,0.1174,
3,20,Additive,0.1632,
3,40,Additive,0.1478,
3,60,Additive,0.1410,
3,80,Additive,0.1462,
3,100,Additive,0.1354,
3,120,Additive,0.1223,
3,140,Additive,0.1151,
3,160,Additive,0.1143,
3,180,Additive,0.1270,
3,200,Additive,0.1261,
4,20,Additive,0.1357,
4,40,Additive,0.1234,
4,60,Additive,0.1140,
4,80,Additive,0.1180,
4,100,Additive,0.1177,
4,120,Additive,0.1538,
4,140,Additive,0.1509,
4,160,Additive,0.1472,
4,180,Additive,0.1479,
4,200,Additive,0.1423,
5,20,Additive,0.1734,
5,40,Additive,0.1542,
5,60,Additive,0.1464,
5,80,Additive,0.1362,
5,100,Additive,0.1363,
5,120,Additive,0.1352,
5,140,Additive,0.1367,
5,160,Additive,0.1353,
5,180,Additive,0.1167,
5,200,Additive,0.1075,
6,20,Additive,0.1779,
6,40,Additive,0.1303,
6,60,Additive,0.1222,
6,80,Additive,0.1214,
6,100,Additive,0.1166,
6,120,Additive,0.1093,
6,140,Additive,0.1088,
6,160,Additive,0.1061,
6,180,Additive,0.1061,
6,200,Additive,0.1040,
7,20,Additive,0.1658,
7,40,Additive,0.1458,
7,60,Additive,0.1405,
7,80,Additive,0.1294,
7,100,Additive,0.1200,
7,120,Additive,0.1178,
7,140,Additive,0.1147,
7,160,Additive,0.1085,
7,180,Additive,0.1052,
7,200,Additive,0.1051,
8,20,Additive,0.1449,
8,40,Additive,0.1196,
8,60,Additive,0.1388,
8,80,Additive,0.1224,
8,100,Additive,0.1132,
8,120,Additive,,
8,140,Additive,0.1079,
8,160,Additive,0.1076,
8,180,Additive,0.1040,
8,200,Additive,0.1055,
9,20,Additive,0.1290,
9,40,Additive,0.1293,
9,60,Additive,0.1168,
9,80,Additive,0.1268,
9,100,Additive,0.1226,
9,120,Additive,0.1171,
9,140,Additive,0.1153,
9,160,Additive,0.1214,
9,180,Additive,0.1227,
9,200,Additive,0.1203,
10,20,Additive,0.1629,
10,40,Additive,0.1264,
10,60,Additive,0.1314,
10,80,Additive,0.1244,
10,100,Additive,0.1201,
10,120,Additive,0.1167,
10,140,Additive,0.1407,
10,160,Additive,0.1394,
10,180,Additive,0.1292,
10,200,Additive,0.1400,
11,20,Additive,0.1758,
11,40,Additive,0.1358,
11,60,Additive,0.1205,
11,80,Additive,0.1206,
11,100,Additive,0.1197,
11,120,Additive,0.1196,
11,140,Additive,0.1091,
11,160,Additive,0.1170,
11,180,Additive,0.1163,
11,200,Additive,0.1185,
12,20,Additive,0.1885,
12,40,Additive,0.1561,
12,60,Additive,0.1588,
12,80,Additive,0.1364,
12,100,Additive,0.1247,
12,120,Additive,0.1230,
12,140,Additive,0.1146,
12,160,Additive,0.1154,
12,180,Additive,0.1117,
12,200,Additive,0.1144,
13,20,Additive,0.1513,
13,40,Additive,0.1661,
13,60,Additive,0.1480,
13,80,Additive,0.1325,
13,100,Additive,0.1162,
13,120,Additive,0.1108,
13,140,Additive,0.1102,
13,160,Additive,0.1474,
13,180,Additive,0.1470,
13,200,Additive,0.1405,
14,20,Additive,0.1469,
14,40,Additive,0.1256,
14,60,Additive,0.1134,
14,80,Additive,0.1286,
14,100,Additive,0.1187,
14,120,Additive,0.1193,
14,140,Additive,0.1176,
14,160,Additive,0.1299,
14,180,Additive,0.1277,
14,200,Additive,0.1191,
15,20,Additive,0.1503,
15,40,Additive,0.1289,
15,60,Additive,0.1184,
15,80,Additive,0.1256,
15,100,Additive,0.1189,
15,120,Additive,0.1197,
15,140,Additive,0.1155,
15,160,Additive,0.1141,
15,180,Additive,0.1143,
15,200,Additive,0.1261,
16,20,Additive,0.1490,
16,40,Additive,0.1421,
16,60,Additive,0.1392,
16,80,Additive,0.1375,
16,100,Additive,0.1175,
16,120,Additive,0.1102,
16,140,Additive,0.1134,
16,160,Additive,0.1208,
16,180,Additive,0.1211,
16,200,Additive,0.1218,
17,20,Additive,0.2340,
17,40,Additive,0.1302,
17,60,Additive,0.1196,
17,80,Additive,0.1162,
17,100,Additive,0.1288,
17,120,Additive,0.1265,
17,140,Additive,0.1165,
17,160,Additive,0.1157,
17,180,Additive,0.1144,
17,200,Additive,0.1143,
18,20,Additive,0.1435,
18,40,Additive,0.1172,
18,60,Additive,0.1191,
18,80,Additive,0.1140,
18,100,Additive,0.1134,
18,120,Additive,0.1239,
18,140,Additive,0.1214,
18,160,Additive,0.1189,
18,180,Additive,0.1168,
18,200,Additive,0.1109,
19,20,Additive,0.1670,
19,40,Additive,0.1353,
19,60,Additive,0.1323,
19,80,Additive,0.1320,
19,100,Additive,0.1265,
19,120,Additive,0.1231,
19,140,Additive,0.1113,
19,160,Additive,0.1208,
19,180,Additive,0.1207,
19,200,Additive,0.1183,
0,20,Smooth,0.2470,7.0312
0,40,Smooth,0.1643,9.3750
0,60,Smooth,0.1440,9.3750
0,80,Smooth,0.1385,9.9609
0,100,Smooth,0.1290,9.9609
0,120,Smooth,0.1187,9.9609
0,140,Smooth,0.1396,14.0625
0,160,Smooth,0.1362,14.0625
0,180,Smooth,0.1125,14.0625
0,200,Smooth,0.1156,16.9922
1,20,Smooth,0.1849,9.3750
1,40,Smooth,0.2178,9.9609
1,60,Smooth,0.1852,9.9609
1,80,Smooth,0.1086,9.9609
1,100,Smooth,0.1409,16.4062
1,120,Smooth,0.1285,16.4062
1,140,Smooth,0.1271,16.9922
1,160,Smooth,0.1227,16.9922
1,180,Smooth,0.1186,16.9922
1,200,Smooth,0.1179,16.9922
2,20,Smooth,0.1837,7.6172
2,40,Smooth,0.1773,8.7891
2,60,Smooth,0.1893,10.5469
2,80,Smooth,0.1747,9.3750
2,100,Smooth,0.1654,9.3750
2,120,Smooth,0.1414,9.3750
2,140,Smooth,0.1368,10.5469
2,160,Smooth,0.0950,10.5469
2,180,Smooth,0.0908,10.5469
2,200,Smooth,0.0908,10.5469
3,20,Smooth,0.1643,7.6172
3,40,Smooth,0.1724,9.9609
3,60,Smooth,0.1443,10.5469
3,80,Smooth,0.1364,10.5469
3,100,Smooth,0.1266,10.5469
3,120,Smooth,0.1150,10.5469
3,140,Smooth,0.1118,10.5469
3,160,Smooth,0.1100,10.5469
3,180,Smooth,0.0929,10.5469
3,200,Smooth,0.0905,10.5469
4,20,Smooth,0.1796,7.0312
4,40,Smooth,0.1703,8.2031
4,60,Smooth,0.1490,8.7891
4,80,Smooth,0.1036,9.9609
4,100,Smooth,0.1079,10.5469
4,120,Smooth,0.0991,10.5469
4,140,Smooth,0.0935,10.5469
4,160,Smooth,0.0917,10.5469
4,180,Smooth,0.0949,11.7188
4,200,Smooth,0.1072,14.0625
5,20,Smooth,0.2377,9.3750
5,40,Smooth,0.2139,9.9609
5,60,Smooth,0.1984,9.9609
5,80,Smooth,0.1185,9.9609
5,100,Smooth,0.1149,9.9609
5,120,Smooth,0.1170,10.5469
5,140,Smooth,0.1162,10.5469
5,160,Smooth,0.1127,10.5469
5,180,Smooth,0.0887,10.5469
5,200,Smooth,0.0889,10.5469
6,20,Smooth,0.1532,7.0312
6,40,Smooth,0.1247,7.6172
6,60,Smooth,0.1260,10.5469
6,80,Smooth,0.1131,10.5469
6,100,Smooth,0.1035,10.5469
6,120,Smooth,0.1061,11.1328
6,140,Smooth,0.1040,11.1328
6,160,Smooth,0.1009,11.1328
6,180,Smooth,0.0973,11.1328
6,200,Smooth,0.0919,11.1328
7,20,Smooth,0.0944,6.4453
7,40,Smooth,0.1091,8.2031
7,60,Smooth,0.0944,8.2031
7,80,Smooth,0.1091,10.5469
7,100,Smooth,0.1093,10.5469
7,120,Smooth,0.1038,10.5469
7,140,Smooth,0.1012,10.5469
7,160,Smooth,0.0934,10.5469
7,180,Smooth,0.0911,10.5469
7,200,Smooth,0.0924,11.7188
8,20,Smooth,0.1641,8.2031
8,40,Smooth,0.1579,8.7891
8,60,Smooth,0.1391,8.7891
8,80,Smooth,0.1256,9.9609
8,100,Smooth,0.1196,9.9609
8,120,Smooth,0.1137,9.9609
8,140,Smooth,0.1091,9.9609
8,160,Smooth,0.1033,9.9609
8,180,Smooth,0.0988,9.9609
8,200,Smooth,0.0966,9.9609
9,20,Smooth,0.1229,8.2031
9,40,Smooth,0.1050,8.2031
9,60,Smooth,0.1124,9.3750
9,80,Smooth,0.1063,9.3750
9,100,Smooth,0.1071,10.5469
9,120,Smooth,0.1068,10.5469
9,140,Smooth,0.0995,10.5469
9,160,Smooth,0.0967,10.5469
9,180,Smooth,0.0948,10.5469
9,200,Smooth,0.0933,10.5469
10,20,Smooth,0.1949,9.9609
10,40,Smooth,0.1734,9.9609
10,60,Smooth,0.1620,9.9609
10,80,Smooth,0.1508,9.9609
10,100,Smooth,0.1457,9.9609
10,120,Smooth,0.1441,9.9609
10,140,Smooth,0.1411,9.9609
10,160,Smooth,0.1116,9.9609
10,180,Smooth,0.0866,9.9609
10,200,Smooth,0.0904,10.5469
11,20,Smooth,0.1632,8.2031
11,40,Smooth,0.1462,8.7891
11,60,Smooth,0.1582,11.7188
11,80,Smooth,0.1314,11.7188
11,100,Smooth,0.1071,11.7188
11,120,Smooth,0.1035,11.7188
11,140,Smooth,0.0923,11.7188
11,160,Smooth,0.1232,16.4062
11,180,Smooth,0.1192,16.4062
11,200,Smooth,0.1159,16.4062
12,20,Smooth,0.2798,8.7891
12,40,Smooth,0.1656,8.7891
12,60,Smooth,0.1077,8.7891
12,80,Smooth,0.1098,9.9609
12,100,Smooth,0.1095,10.5469
12,120,Smooth,0.1369,19.9219
12,140,Smooth,0.1355,19.9219
12,160,Smooth,0.1301,19.9219
12,180,Smooth,0.1237,19.9219
12,200,Smooth,0.1217,19.9219
13,20,Smooth,0.1138,7.0312
13,40,Smooth,0.1311,10.5469
13,60,Smooth,0.1197,10.5469
13,80,Smooth,0.1161,10.5469
13,100,Smooth,0.1072,10.5469
13,120,Smooth,0.1030,10.5469
13,140,Smooth,0.1008,10.5469
13,160,Smooth,0.0982,10.5469
13,180,Smooth,0.0957,10.5469
13,200,Smooth,0.0984,11.7188
14,20,Smooth,0.1897,7.0312
14,40,Smooth,0.1764,8.2031
14,60,Smooth,0.1918,9.8438
14,80,Smooth,0.0994,9.3750
14,100,Smooth,0.0918,9.3750
14,120,Smooth,0.0974,10.5469
14,140,Smooth,0.0953,10.5469
14,160,Smooth,0.0920,10.5469
14,180,Smooth,0.0961,11.7188
14,200,Smooth,0.1074,14.0625
15,20,Smooth,0.1411,7.6172
15,40,Smooth,0.1484,9.3750
15,60,Smooth,0.1284,9.9609
15,80,Smooth,0.1197,9.9609
15,100,Smooth,0.1341,11.9531
15,120,Smooth,0.0806,9.9609
15,140,Smooth,0.1258,11.7188
15,160,Smooth,0.1203,11.7188
15,180,Smooth,0.0985,11.7188
15,200,Smooth,0.0975,11.7188
16,20,Smooth,0.3006,8.2031
16,40,Smooth,0.1738,9.9609
16,60,Smooth,0.1522,9.9609
