rep,training_size,model,RelL2,beta_star
1,60,Additive,0.7523,
1,80,Additive,0.7574,
1,100,Additive,0.7606,
1,120,Additive,0.7567,
1,140,Additive,0.7590,
1,160,Additive,0.7587,
1,180,Additive,0.7808,
1,200,Additive,0.7796,
2,20,Additive,0.6713,
2,40,Additive,0.6997,
2,60,Additive,0.7086,
2,80,Additive,0.7186,
2,100,Additive,0.7447,
2,120,Additive,0.7712,
2,140,Additive,0.7713,
2,160,Additive,0.7727,
2,180,Additive,0.7816,
2,200,Additive,0.7818,
3,20,Additive,0.7070,
3,40,Additive,0.6657,
3,60,Additive,0.6742,
3,80,Additive,0.7054,
3,100,Additive,0.7424,
3,120,Additive,0.7683,
3,140,Additive,0.7690,
3,160,Additive,0.7695,
3,180,Additive,0.7679,
3,200,Additive,0.7691,
4,20,Additive,0.5464,
4,40,Additive,0.6985,
4,60,Additive,0.6809,
4,80,Additive,0.7396,
4,100,Additive,0.7402,
4,120,Additive,0.7555,
4,140,Additive,0.7536,
4,160,Additive,0.7493,
4,180,Additive,0.7873,
4,200,Additive,0.8016,
5,20,Additive,0.6875,
5,40,Additive,0.6419,
5,60,Additive,0.7005,
5,80,Additive,0.7031,
5,100,Additive,0.7285,
5,120,Additive,0.7505,
5,140,Additive,0.7577,
5,160,Additive,0.7720,
5,180,Additive,0.7714,
5,200,Additive,0.7794,
6,20,Additive,0.7804,
6,40,Additive,0.7509,
6,60,Additive,0.7591,
6,80,Additive,0.7852,
6,100,Additive,0.7810,
6,120,Additive,0.7817,
6,140,Additive,0.7865,
6,160,Additive,0.7793,
6,180,Additive,0.7922,
6,200,Additive,0.7963,
7,20,Additive,0.6519,
7,40,Additive,0.6810,
7,60,Additive,0.7070,
7,80,Additive,0.7451,
7,100,Additive,0.7527,
7,120,Additive,0.7432,
7,140,Additive,0.7576,
7,160,Additive,0.7648,
7,180,Additive,0.7578,
7,200,Additive,0.7805,
8,20,Additive,0.6515,
8,40,Additive,0.6853,
8,60,Additive,0.7457,
8,80,Additive,0.7354,
8,100,Additive,0.7419,
8,120,Additive,0.7468,
8,140,Additive,0.7549,
8,160,Additive,0.7631,
8,180,Additive,0.7655,
8,200,Additive,0.7733,
9,20,Additive,0.6952,
9,40,Additive,0.5320,
9,60,Additive,0.6425,
9,80,Additive,0.7680,
9,100,Additive,0.7753,
9,120,Additive,0.7747,
9,140,Additive,0.7946,
9,160,Additive,0.7951,
9,180,Additive,0.7937,
