rep,training_size,model,RelL2,beta_star
18,120,Convex only,0.1664,
18,140,Convex only,0.1570,
18,160,Convex only,0.1531,
18,180,Convex only,0.1469,
18,200,Convex only,0.1448,
19,20,Convex only,0.2418,
19,40,Convex only,0.2119,
19,60,Convex only,0.1921,
19,80,Convex only,0.1844,
19,100,Convex only,0.1781,
19,120,Convex only,0.1676,
19,140,Convex only,0.1647,
19,160,Convex only,0.1648,
19,180,Convex only,0.1589,
19,200,Convex only,0.1508,
0,20,Additive,0.1060,
0,40,Additive,0.0655,
0,60,Additive,0.0584,
0,80,Additive,0.0387,
0,100,Additive,0.0358,
0,120,Additive,0.0267,
0,140,Additive,0.0270,
0,160,Additive,0.0256,
0,180,Additive,0.0250,
0,200,Additive,0.0240,
1,20,Additive,0.0995,
1,40,Additive,0.0684,
1,60,Additive,0.0491,
1,80,Additive,0.0450,
1,100,Additive,0.0438,
1,120,Additive,0.0411,
1,140,Additive,0.0300,
1,160,Additive,0.0286,
1,180,Additive,0.0229,
1,200,Additive,0.0233,
2,20,Additive,0.0939,
2,40,Additive,0.0423,
2,60,Additive,0.0389,
2,80,Additive,0.0289,
2,100,Additive,0.0242,
2,120,Additive,0.0228,
2,140,Additive,0.0211,
2,160,Additive,0.0194,
2,180,Additive,0.0190,
2,200,Additive,0.0175,
3,20,Additive,0.1326,
3,40,Additive,0.0783,
3,60,Additive,0.0558,
3,80,Additive,0.0360,
3,100,Additive,0.0297,
3,120,Additive,0.0245,
3,140,Additive,0.0205,
3,160,Additive,0.0210,
3,180,Additive,0.0209,
3,200,Additive,0.0201,
4,20,Additive,0.1272,
4,40,Additive,0.0592,
4,60,Additive,0.0481,
4,80,Additive,0.0456,
4,100,Additive,0.0436,
4,120,Additive,0.0377,
4,140,Additive,0.0357,
4,160,Additive,0.0267,
4,180,Additive,0.0273,
4,200,Additive,0.0190,
5,20,Additive,0.0898,
5,40,Additive,0.0499,
5,60,Additive,0.0371,
5,80,Additive,0.0300,
5,100,Additive,0.0278,
5,120,Additive,0.0257,
5,140,Additive,0.0254,
5,160,Additive,0.0270,
5,180,Additive,0.0254,
5,200,Additive,0.0204,
6,20,Additive,0.1019,
6,40,Additive,0.0738,
6,60,Additive,0.0538,
6,80,Additive,0.0490,
6,100,Additive,0.0471,
6,120,Additive,0.0307,
6,140,Additive,0.0257,
6,160,Additive,0.0237,
6,180,Additive,0.0248,
6,200,Additive,0.0250,
7,20,Additive,0.1072,
7,40,Additive,0.0627,
7,60,Additive,0.0591,
7,80,Additive,0.0345,
7,100,Additive,0.0323,
7,120,Additive,0.0216,
7,140,Additive,0.0209,
7,160,Additive,0.0195,
7,180,Additive,0.0197,
7,200,Additive,0.0194,
8,20,Additive,0.1623,
8,40,Additive,0.0827,
8,60,Additive,0.0723,
8,80,Additive,0.0644,
8,100,Additive,0.0429,
8,120,Additive,0.0429,
8,140,Additive,0.0367,
8,160,Additive,0.0310,
8,180,Additive,0.0270,
8,200,Additive,0.0266,
9,20,Additive,0.1614,
9,40,Additive,0.0882,
9,60,Additive,0.0438,
9,80,Additive,0.0344,
9,100,Additive,0.0296,
9,120,Additive,0.0283,
9,140,Additive,0.0277,
9,160,Additive,0.0262,
9,180,Additive,0.0247,
9,200,Additive,0.0223,
10,20,Additive,0.1596,
10,40,Additive,0.0602,
10,60,Additive,0.0488,
10,80,Additive,0.0418,
10,100,Additive,0.0284,
10,120,Additive,0.0268,
10,140,Additive,0.0254,
10,160,Additive,0.0238,
10,180,Additive,0.0173,
10,200,Additive,0.0175,
11,20,Additive,0.1120,
11,40,Additive,0.0794,
11,60,Additive,0.0570,
11,80,Additive,0.0468,
11,100,Additive,0.0321,
11,120,Additive,0.0303,
11,140,Additive,0.0279,
11,160,Additive,0.0270,
11,180,Additive,0.0223,
11,200,Additive,0.0219,
12,20,Additive,0.0955,
12,40,Additive,0.0606,
12,60,Additive,0.0491,
12,80,Additive,0.0382,
12,100,Additive,0.0380,
12,120,Additive,0.0255,
12,140,Additive,0.0248,
12,160,Additive,0.0226,
12,180,Additive,0.0227,
12,200,Additive,0.0219,
13,20,Additive,0.1035,
13,40,Additive,0.0767,
13,60,Additive,0.0538,
13,80,Additive,0.0477,
13,100,Additive,0.0445,
13,120,Additive,0.0407,
13,140,Additive,0.0352,
13,160,Additive,0.0295,
13,180,Additive,0.0313,
13,200,Additive,0.0276,
14,20,Additive,0.1133,
14,40,Additive,0.0708,
14,60,Additive,0.0579,
14,80,Additive,0.0564,
14,100,Additive,0.0331,
14,120,Additive,0.0247,
14,140,Additive,0.0247,
14,160,Additive,0.0233,
14,180,Additive,0.0240,
14,200,Additive,0.0232,
15,20,Additive,0.1145,
15,40,Additive,0.0675,
15,60,Additive,0.0443,
15,80,Additive,0.0416,
15,100,Additive,0.0403,
15,120,Additive,0.0275,
15,140,Additive,0.0250,
15,160,Additive,0.0264,
15,180,Additive,0.0255,
15,200,Additive,0.0250,
16,20,Additive,0.1159,
16,40,Additive,0.0771,
16,60,Additive,0.0593,
16,80,Additive,0.0569,
16,100,Additive,0.0530,
16,120,Additive,0.0371,
16,140,Additive,0.0351,
16,160,Additive,0.0361,
16,180,Additive,0.0340,
16,200,Additive,0.0343,
17,20,Additive,0.1266,
17,40,Additive,0.0672,
17,60,Additive,0.0585,
17,80,Additive,0.0474,
17,100,Additive,0.0400,
17,120,Additive,0.0356,
17,140,Additive,0.0342,
17,160,Additive,0.0343,
17,180,Additive,0.0290,
17,200,Additive,0.0217,
18,20,Additive,0.1001,
18,40,Additive,0.0668,
18,60,Additive,0.0529,
18,80,Additive,0.0331,
18,100,Additive,0.0254,
18,120,Additive,0.0269,
18,140,Additive,0.0265,
18,160,Additive,0.0243,
18,180,Additive,0.0236,
18,200,Additive,0.0213,
19,20,Additive,0.1113,
19,40,Additive,0.0684,
19,60,Additive,0.0565,
19,80,Additive,0.0390,
19,100,Additive,0.0370,
19,120,Additive,0.0277,
19,140,Additive,0.0281,
19,160,Additive,0.0274,
19,180,Additive,0.0246,
19,200,Additive,0.0250,
0,20,Smooth,0.1577,9.9609
0,40,Smooth,0.1419,9.9609
0,60,Smooth,0.1285,9.9609
0,80,Smooth,0.1031,9.9609
0,100,Smooth,0.1415,17.5781
0,120,Smooth,0.1330,17.5781
0,140,Smooth,0.1225,17.5781
0,160,Smooth,0.1184,17.5781
0,180,Smooth,0.1146,17.5781
0,200,Smooth,0.1121,17.5781
1,20,Smooth,0.1067,7.6172
1,40,Smooth,0.0904,7.6172
1,60,Smooth,0.1077,9.9609
1,80,Smooth,0.1023,9.9609
1,100,Smooth,0.0957,9.9609
1,120,Smooth,0.1007,11.1328
1,140,Smooth,0.1246,19.9219
1,160,Smooth,0.1218,19.9219
1,180,Smooth,0.1187,19.9219
1,200,Smooth,0.1172,19.9219
2,20,Smooth,0.1110,7.6172
2,40,Smooth,0.1122,8.7891
2,60,Smooth,0.0995,8.7891
2,80,Smooth,0.1311,13.4766
2,100,Smooth,0.1132,13.4766
2,120,Smooth,0.1079,13.4766
2,140,Smooth,0.1042,13.4766
2,160,Smooth,0.1030,13.4766
2,180,Smooth,0.1001,13.4766
2,200,Smooth,0.1128,19.9219
3,20,Smooth,0.1306,7.0312
3,40,Smooth,0.1212,8.2031
3,60,Smooth,0.1280,9.3750
3,80,Smooth,0.1134,9.3750
3,100,Smooth,0.1211,11.7188
3,120,Smooth,0.1123,11.7188
3,140,Smooth,0.1067,11.7188
3,160,Smooth,0.1003,11.7188
3,180,Smooth,0.0914,11.7188
3,200,Smooth,0.1178,19.9219
4,20,Smooth,0.2872,7.0312
4,40,Smooth,0.1316,7.6172
4,60,Smooth,0.1335,9.8438
4,80,Smooth,0.0943,8.7891
4,100,Smooth,0.0866,8.7891
4,120,Smooth,0.1342,17.5781
4,140,Smooth,0.1243,17.5781
4,160,Smooth,0.1185,17.5781
4,180,Smooth,0.1176,17.5781
4,200,Smooth,0.1155,17.5781
5,20,Smooth,0.1121,7.6172
5,40,Smooth,0.1074,9.1406
5,60,Smooth,0.1011,9.3750
5,80,Smooth,0.0963,9.3750
5,100,Smooth,0.1018,11.1328
5,120,Smooth,0.1113,13.4766
5,140,Smooth,0.1088,13.4766
5,160,Smooth,0.1240,19.9219
5,180,Smooth,0.1211,19.9219
5,200,Smooth,0.1167,19.9219
6,20,Smooth,0.1592,8.7891
6,40,Smooth,0.1101,8.7891
6,60,Smooth,0.1413,13.3594
6,80,Smooth,0.1142,11.7188
6,100,Smooth,0.1033,11.7188
6,120,Smooth,0.1268,17.5781
6,140,Smooth,0.1222,17.5781
6,160,Smooth,0.1202,17.5781
6,180,Smooth,0.1149,17.5781
6,200,Smooth,0.1119,17.5781
7,20,Smooth,0.1299,9.3750
7,40,Smooth,0.1227,9.9609
7,60,Smooth,0.1087,9.9609
7,80,Smooth,0.1052,9.9609
7,100,Smooth,0.1014,9.9609
7,120,Smooth,0.0911,9.9609
7,140,Smooth,0.0985,11.1328
7,160,Smooth,0.0928,11.1328
7,180,Smooth,0.1164,17.5781
7,200,Smooth,0.1133,17.5781
8,20,Smooth,0.1182,8.2031
8,40,Smooth,0.1014,8.2031
8,60,Smooth,0.1036,9.3750
8,80,Smooth,0.1134,11.1328
8,100,Smooth,0.1055,11.1328
8,120,Smooth,0.0994,11.1328
8,140,Smooth,0.1266,19.9219
8,160,Smooth,0.1246,19.9219
8,180,Smooth,0.1233,19.9219
8,200,Smooth,0.1194,19.9219
9,20,Smooth,0.1674,7.0312
9,40,Smooth,0.0863,7.6172
9,60,Smooth,0.0948,8.7891
9,80,Smooth,0.1028,9.9609
9,100,Smooth,0.1091,11.7188
9,120,Smooth,0.1030,11.7188
9,140,Smooth,0.0989,11.7188
9,160,Smooth,0.0949,11.7188
9,180,Smooth,0.1182,19.9219
9,200,Smooth,0.1179,19.9219
10,20,Smooth,0.1549,8.2031
10,40,Smooth,0.1215,9.3750
10,60,Smooth,0.1083,9.3750
10,80,Smooth,0.1008,9.9609
10,100,Smooth,0.1142,12.8906
10,120,Smooth,0.1065,12.8906
10,140,Smooth,0.1031,12.8906
10,160,Smooth,0.1010,12.8906
10,180,Smooth,0.0967,12.8906
10,200,Smooth,0.1077,17.5781
11,20,Smooth,0.0979,7.0312
11,40,Smooth,0.0904,7.6172
11,60,Smooth,0.1139,10.5469
11,80,Smooth,0.1027,10.5469
11,100,Smooth,0.1161,13.4766
11,120,Smooth,0.1095,13.4766
11,140,Smooth,0.1051,13.4766
11,160,Smooth,0.1006,13.4766
11,180,Smooth,0.0976,13.4766
11,200,Smooth,0.0955,13.4766
12,20,Smooth,0.1717,7.0312
12,40,Smooth,0.0863,7.6172
12,60,Smooth,0.1035,9.9609
12,80,Smooth,0.1012,9.9609
12,100,Smooth,0.0946,9.9609
12,120,Smooth,0.0882,12.3047
12,140,Smooth,0.1294,19.9219
12,160,Smooth,0.1273,19.9219
12,180,Smooth,0.1223,19.9219
12,200,Smooth,0.1179,19.9219
