rep,training_size,model,RelL2,beta_star
18,120,Convex only,0.1663,
18,140,Convex only,0.1575,
18,160,Convex only,0.1518,
18,180,Convex only,0.1465,
18,200,Convex only,0.1454,
19,20,Convex only,0.2417,
19,40,Convex only,0.2148,
19,60,Convex only,0.1985,
19,80,Convex only,0.1898,
19,100,Convex only,0.1824,
19,120,Convex only,0.1714,
19,140,Convex only,0.1693,
19,160,Convex only,0.1656,
19,180,Convex only,0.1627,
19,200,Convex only,0.1557,
0,20,Additive,0.1102,
0,40,Additive,0.0630,
0,60,Additive,0.0550,
0,80,Additive,0.0341,
0,100,Additive,0.0304,
0,120,Additive,0.0184,
0,140,Additive,0.0166,
0,160,Additive,0.0159,
0,180,Additive,0.0131,
0,200,Additive,0.0123,
1,20,Additive,0.0969,
1,40,Additive,0.0692,
1,60,Additive,0.0411,
1,80,Additive,0.0369,
1,100,Additive,0.0349,
1,120,Additive,0.0337,
1,140,Additive,0.0218,
1,160,Additive,0.0196,
1,180,Additive,0.0132,
1,200,Additive,0.0125,
2,20,Additive,0.0916,
2,40,Additive,0.0391,
2,60,Additive,0.0315,
2,80,Additive,0.0184,
2,100,Additive,0.0147,
2,120,Additive,0.0131,
2,140,Additive,0.0120,
2,160,Additive,0.0110,
2,180,Additive,0.0100,
2,200,Additive,0.0090,
3,20,Additive,0.1210,
3,40,Additive,0.0749,
3,60,Additive,0.0509,
3,80,Additive,0.0305,
3,100,Additive,0.0191,
3,120,Additive,0.0176,
3,140,Additive,0.0116,
3,160,Additive,0.0104,
3,180,Additive,0.0101,
3,200,Additive,0.0092,
4,20,Additive,0.1252,
4,40,Additive,0.0512,
4,60,Additive,0.0404,
4,80,Additive,0.0348,
4,100,Additive,0.0308,
4,120,Additive,0.0278,
4,140,Additive,0.0268,
4,160,Additive,0.0167,
4,180,Additive,0.0155,
4,200,Additive,0.0083,
5,20,Additive,0.0798,
5,40,Additive,0.0369,
5,60,Additive,0.0273,
5,80,Additive,0.0222,
5,100,Additive,0.0195,
5,120,Additive,0.0177,
5,140,Additive,0.0165,
5,160,Additive,0.0156,
5,180,Additive,0.0148,
5,200,Additive,0.0109,
6,20,Additive,0.0955,
6,40,Additive,0.0729,
6,60,Additive,0.0524,
6,80,Additive,0.0456,
6,100,Additive,0.0410,
6,120,Additive,0.0209,
