rep,training_size,model,RelL2,beta_star
1,60,Additive,0.1196,
1,80,Additive,0.1188,
1,100,Additive,0.1181,
1,120,Additive,0.1181,
1,140,Additive,0.1201,
1,160,Additive,0.1109,
1,180,Additive,0.1121,
1,200,Additive,0.1106,
2,20,Additive,0.1381,
2,40,Additive,0.1174,
2,60,Additive,0.1109,
2,80,Additive,0.1106,
2,100,Additive,0.1083,
2,120,Additive,0.1087,
2,140,Additive,0.1104,
2,160,Additive,0.1094,
2,180,Additive,0.1044,
2,200,Additive,0.1097,
3,20,Additive,0.1678,
3,40,Additive,0.1453,
3,60,Additive,0.1316,
3,80,Additive,0.1428,
3,100,Additive,0.1343,
3,120,Additive,0.1192,
3,140,Additive,0.1152,
3,160,Additive,0.1145,
3,180,Additive,0.1262,
3,200,Additive,0.1243,
4,20,Additive,0.1374,
4,40,Additive,0.1257,
4,60,Additive,0.1164,
4,80,Additive,0.1073,
4,100,Additive,0.1186,
4,120,Additive,0.1552,
4,140,Additive,0.1525,
4,160,Additive,0.1537,
4,180,Additive,0.1512,
4,200,Additive,0.1477,
5,20,Additive,0.1728,
5,40,Additive,0.1444,
5,60,Additive,0.1408,
5,80,Additive,0.1225,
5,100,Additive,0.1248,
5,120,Additive,0.1294,
5,140,Additive,0.1264,
5,160,Additive,0.1249,
5,180,Additive,0.1117,
5,200,Additive,0.1070,
6,20,Additive,0.1769,
6,40,Additive,0.1194,
6,60,Additive,0.1101,
6,80,Additive,0.1110,
6,100,Additive,0.1169,
6,120,Additive,0.1091,
6,140,Additive,0.1077,
6,160,Additive,0.1131,
6,180,Additive,0.1098,
6,200,Additive,0.1060,
7,20,Additive,0.1644,
7,40,Additive,0.1530,
7,60,Additive,0.1463,
7,80,Additive,0.1348,
7,100,Additive,0.1195,
7,120,Additive,0.1226,
7,140,Additive,0.1219,
7,160,Additive,0.1228,
7,180,Additive,0.1212,
7,200,Additive,0.1211,
8,20,Additive,0.1504,
8,40,Additive,0.1364,
8,60,Additive,0.1296,
8,80,Additive,0.1193,
8,100,Additive,0.1147,
8,120,Additive,0.1101,
8,140,Additive,0.1092,
8,160,Additive,0.1067,
8,180,Additive,0.1064,
8,200,Additive,0.1143,
9,20,Additive,0.1310,
9,40,Additive,0.1205,
9,60,Additive,0.1131,
9,80,Additive,0.1241,
9,100,Additive,0.1183,
9,120,Additive,0.1130,
9,140,Additive,0.1173,
9,160,Additive,0.1068,
9,180,Additive,0.1144,
9,200,Additive,0.1142,
10,20,Additive,0.1680,
10,40,Additive,0.1371,
10,60,Additive,0.1401,
10,80,Additive,0.1326,
10,100,Additive,0.1230,
10,120,Additive,0.1223,
10,140,Additive,0.1370,
10,160,Additive,0.1389,
10,180,Additive,0.1298,
10,200,Additive,0.1425,
